,TF
1543,Zfp771
1544,Zfp787
1545,Zscan5b
1546,Zscan29
1547,Churc1
1548,Klrg1
1549,Obox2
1550,Duxbl2
1551,Duxbl3
1552,Cphx1
1553,Gm38394
1554,Zbed6
1555,Zfp74
1556,Zbtb42
1557,Zfp536
1558,Zbtb5
1559,Foxe3
1560,Zfp688
1561,Zfp692
1562,Zfp800
1563,Rlf
1564,Zfp746
1565,Zfp672
1566,Zfp653
1567,Zfp579
1568,Zfp687
1569,Zfp445
1570,Adnp2
1571,Zbtb44
1572,D130040H23Rik
1573,Gm3055
1574,Zfp781
1575,Zfp438
1576,Zfp641
1577,Zfp91
1578,Zfp516
1579,Zscan18
1580,Insm2
1581,Zfp414
1582,Zfp654
1583,Zfp575
1584,Zbtb41
1585,Zfp639
1586,Aebp2
1587,Zfp212
1588,Gtf2a1l
1589,Zbtb8b
1590,Zfp661
1591,Ikzf3
1592,Zfp398
1593,Zfp280b
1594,Zfp526
1595,Zscan12
1596,Zfp777
1597,Zbtb34
1598,Ikzf4
1599,Zscan25
1600,Fiz1
1601,Zfp213
1602,Zfp92
1603,Zfp59
1604,Zfp607a
1605,Zfp607b
1606,Zfp626
1607,Zfp780b
1608,Zfp850
1609,Zfp974
1610,Zfp286
1611,Zfy1
1612,Zfp879
1613,Zfy2
1614,Zfp407
1615,Zfa-ps
1616,Zbtb24
1617,Zfp9
1618,Zscan21
1619,Zfp354b
1620,Zfp367
1621,Zik1
1622,Zfp648
1623,Zfp553
1624,Zfp37
1625,Zfp775
1626,Zfp574
1627,Zfp184
1628,Zfp689
1629,Zfp248
1630,Zfp872
1631,Zfp11
1632,Zfp24
1633,Zfp14
1634,Zfp408
1635,Zkscan17
1636,Zfp719
1637,Zfp819
1638,Zfp30
1639,Zfp180
1640,2610044O15Rik8
1641,3300002I08Rik
1642,6720489N17Rik
1643,9030624G23Rik
1644,B230307C23Rik
1645,Gm10130
1646,Gm10479
1647,Gm14288
1648,Gm14435
1649,Gm14440
1650,Zfp935
1651,Zfp961
1652,Zfp623
1653,Zfp442
1654,Zfp422
1655,Zfp39
1656,9130023H24Rik
1657,Zscan2
1658,D3Ertd254e
1659,Zfp386
1660,Zfp941
1661,Zfp169
1662,Zfp791
1663,Zfp69
1664,Zfp27
1665,Zfp790
1666,Zfp629
1667,Zfp551
1668,Zfp867
1669,Zfp786
1670,Zfp451
1671,Zfp668
1672,Zfp383
1673,Zfp62
1674,Zfp90
