Geneid,SC2,SC2yuan,SC3,SC3yuan
ENSMUSG00000100205,0,0,0,0
ENSMUSG00000100592,0,0,0,0
ENSMUSG00000094215,0,1,0,3
ENSMUSG00000118959,0,0,0,0
ENSMUSG00000101093,0,0,0,0
ENSMUSG00000070960,112,49,113,92
ENSMUSG00000088620,0,0,0,0
ENSMUSG00000082159,0,7,0,15
ENSMUSG00000026058,0,7,2,10
ENSMUSG00000064688,0,0,0,0
ENSMUSG00000103482,0,0,0,0
ENSMUSG00000104498,0,0,0,0
ENSMUSG00000104313,0,0,0,0
ENSMUSG00000102865,0,0,0,0
ENSMUSG00000102321,0,0,0,0
ENSMUSG00000091318,0,0,0,0
ENSMUSG00000089489,0,0,0,0
ENSMUSG00000104433,0,0,0,0
ENSMUSG00000102926,0,0,0,0
ENSMUSG00000100497,0,0,0,0
ENSMUSG00000102917,0,0,0,0
ENSMUSG00000100481,134,109,108,128
ENSMUSG00000100590,0,34,0,63
ENSMUSG00000088750,0,0,0,0
ENSMUSG00000104230,0,0,0,0
ENSMUSG00000101754,0,0,0,0
ENSMUSG00000065223,0,0,0,0
ENSMUSG00000100318,0,0,0,0
ENSMUSG00000101612,3,15,0,13
ENSMUSG00000065260,0,0,0,0
ENSMUSG00000026134,623,86,541,88
ENSMUSG00000101682,0,1,0,3
ENSMUSG00000102714,0,1,0,0
ENSMUSG00000102093,0,0,2,0
ENSMUSG00000103746,1,0,1,0
ENSMUSG00000102198,0,0,0,0
ENSMUSG00000004768,310,180,282,229
ENSMUSG00000042215,736,186,706,212
ENSMUSG00000103072,3,0,0,0
ENSMUSG00000042197,1310,384,1214,419
ENSMUSG00000081402,176,89,148,108
ENSMUSG00000042182,37,12,32,33
ENSMUSG00000104416,1,0,2,0
ENSMUSG00000026131,4511,9674,4600,11832
ENSMUSG00000103596,0,0,0,0
ENSMUSG00000099382,1,0,0,0
ENSMUSG00000084506,0,0,0,0
ENSMUSG00000103364,7,0,9,0
ENSMUSG00000105982,0,0,1,0
ENSMUSG00000096992,7,5,11,1
ENSMUSG00000103001,0,0,0,0
ENSMUSG00000104397,0,0,0,0
ENSMUSG00000102839,3,0,2,0
ENSMUSG00000101206,0,2,0,1
ENSMUSG00000101462,0,0,0,0
ENSMUSG00000102336,1,24,0,29
ENSMUSG00000092852,0,0,0,0
ENSMUSG00000042111,614,170,599,137
ENSMUSG00000101711,6,0,5,1
ENSMUSG00000026127,1410,497,1371,575
ENSMUSG00000026126,786,16,901,25
ENSMUSG00000100280,128,1,127,5
ENSMUSG00000101223,28,0,14,0
ENSMUSG00000026125,0,0,0,0
ENSMUSG00000101116,0,0,0,0
ENSMUSG00000026124,0,0,0,0
ENSMUSG00000101803,0,2,0,2
ENSMUSG00000037529,1,0,2,0
ENSMUSG00000045815,0,0,0,0
ENSMUSG00000045174,17,0,4,2
ENSMUSG00000100524,0,0,0,0
ENSMUSG00000102499,0,0,0,0
ENSMUSG00000103521,0,0,0,0
ENSMUSG00000104098,0,0,0,0
