Geneid,RAW1,RAW1yuan,RAW2,RAW2yuan,RAW3,RAW3yuan
ENSMUSG00000101235,0,0,0,0,0,0
ENSMUSG00000099257,0,0,0,0,0,0
ENSMUSG00000099492,106,119,139,126,104,145
ENSMUSG00000118548,0,0,0,0,0,0
ENSMUSG00000101726,0,0,0,0,0,0
ENSMUSG00000053185,0,0,0,0,0,0
ENSMUSG00000118988,0,0,0,0,0,0
ENSMUSG00000100261,50,45,67,55,59,54
ENSMUSG00000101180,0,1,0,0,0,0
ENSMUSG00000048874,1718,1442,1639,1446,1780,1594
ENSMUSG00000103783,0,3,1,0,3,2
ENSMUSG00000104315,10,2,6,3,7,3
ENSMUSG00000026064,5,13,9,29,6,13
ENSMUSG00000117310,0,8,1,4,6,2
ENSMUSG00000117091,0,0,0,0,0,0
ENSMUSG00000086726,0,0,0,0,0,0
ENSMUSG00000086727,1,0,1,0,1,0
ENSMUSG00000100237,0,0,0,0,0,0
ENSMUSG00000100910,0,0,0,0,0,0
ENSMUSG00000099796,0,3,2,4,0,2
ENSMUSG00000050217,1,0,0,0,0,0
ENSMUSG00000026063,0,0,0,0,0,0
ENSMUSG00000077664,0,0,0,0,0,0
ENSMUSG00000100205,0,0,0,0,0,0
ENSMUSG00000100592,0,0,0,0,0,0
ENSMUSG00000094215,0,0,0,0,0,0
ENSMUSG00000118959,0,0,0,0,0,0
ENSMUSG00000101093,0,0,0,0,0,0
ENSMUSG00000070960,79,27,56,27,72,47
ENSMUSG00000088620,0,0,0,0,0,0
ENSMUSG00000082159,1,0,0,0,0,0
ENSMUSG00000026058,0,0,0,0,0,0
ENSMUSG00000064688,0,0,0,0,0,0
ENSMUSG00000103482,0,0,0,0,0,0
ENSMUSG00000104498,0,0,0,0,0,0
ENSMUSG00000104313,0,0,0,0,0,0
ENSMUSG00000102865,0,0,0,0,0,0
ENSMUSG00000102321,0,0,0,0,0,0
ENSMUSG00000091318,0,0,0,0,0,0
ENSMUSG00000089489,0,0,0,0,0,0
ENSMUSG00000104433,0,0,0,0,0,0
ENSMUSG00000102926,0,0,0,0,0,0
ENSMUSG00000100497,0,0,0,0,0,0
ENSMUSG00000102917,0,0,0,0,0,0
ENSMUSG00000100481,106,77,79,77,107,86
ENSMUSG00000100590,0,0,0,0,1,0
ENSMUSG00000088750,0,0,0,0,0,0
ENSMUSG00000104230,0,0,0,0,0,0
ENSMUSG00000101754,0,0,0,0,0,0
ENSMUSG00000065223,0,0,0,0,0,0
ENSMUSG00000100318,0,0,0,0,0,0
ENSMUSG00000101612,2,1,0,3,1,4
ENSMUSG00000065260,0,0,0,0,0,0
ENSMUSG00000026134,515,591,484,642,528,576
ENSMUSG00000101682,1,0,0,0,3,1
ENSMUSG00000102714,5,0,2,3,1,0
ENSMUSG00000102093,1,2,3,1,0,0
ENSMUSG00000103746,7,0,0,4,6,5
ENSMUSG00000102198,0,0,0,0,0,0
ENSMUSG00000004768,342,363,324,444,375,440
ENSMUSG00000042215,903,994,846,910,858,1022
ENSMUSG00000103072,3,3,0,0,4,3
ENSMUSG00000042197,1517,1346,1345,1429,1390,1654
ENSMUSG00000081402,178,248,155,241,191,215
ENSMUSG00000042182,30,28,35,30,43,25
ENSMUSG00000104416,0,0,0,0,0,0
ENSMUSG00000026131,4969,2720,5579,2658,5391,2953
ENSMUSG00000103596,2,3,1,0,3,3
ENSMUSG00000099382,0,0,0,0,0,0
ENSMUSG00000084506,0,0,0,0,0,0
ENSMUSG00000103364,8,2,11,7,5,2
ENSMUSG00000105982,0,0,0,0,0,0
ENSMUSG00000096992,5,3,10,5,5,3
ENSMUSG00000103001,0,0,1,1,1,0
ENSMUSG00000104397,0,0,0,0,0,0
ENSMUSG00000102839,1,10,4,7,4,2
ENSMUSG00000101206,0,0,0,0,0,0
ENSMUSG00000101462,0,0,0,0,0,0
ENSMUSG00000102336,2,0,1,0,0,0
ENSMUSG00000092852,0,0,0,0,0,0
ENSMUSG00000042111,837,898,691,980,746,1040
ENSMUSG00000101711,6,4,5,4,4,5
ENSMUSG00000026127,1721,2300,1578,2278,1797,2457
ENSMUSG00000026126,417,447,454,467,535,479
ENSMUSG00000100280,67,68,65,83,66,84
ENSMUSG00000101223,10,6,9,5,12,2
ENSMUSG00000026125,0,0,0,1,1,1
ENSMUSG00000101116,0,0,0,0,0,0
ENSMUSG00000026124,0,0,0,0,0,0
ENSMUSG00000101803,0,0,0,0,0,0
ENSMUSG00000037529,3,5,7,0,8,3
ENSMUSG00000045815,1,0,0,0,0,0
ENSMUSG00000045174,32,29,21,37,25,34
ENSMUSG00000100524,0,0,0,0,0,0
ENSMUSG00000102499,0,0,0,0,0,0
ENSMUSG00000103521,0,0,0,0,0,0
ENSMUSG00000104098,0,0,0,0,0,0
ENSMUSG00000037509,87,64,111,72,109,72
ENSMUSG00000102537,0,0,0,0,0,0
ENSMUSG00000102612,0,0,0,0,0,0
ENSMUSG00000118272,0,0,0,0,0,0
ENSMUSG00000104002,13,17,11,12,5,4
ENSMUSG00000037503,3303,4115,3057,4076,3202,4263
ENSMUSG00000104358,37,30,21,23,23,24
ENSMUSG00000026123,2590,1205,2697,1213,2632,1389
ENSMUSG00000103716,0,0,0,0,0,0
ENSMUSG00000103548,18,10,16,19,25,6
ENSMUSG00000103760,0,0,1,0,0,0
ENSMUSG00000103997,0,0,0,0,0,0
ENSMUSG00000077231,0,0,0,0,0,0
ENSMUSG00000104417,0,0,0,0,0,0
ENSMUSG00000064601,0,0,0,0,0,0
ENSMUSG00000101714,0,0,0,0,0,0
ENSMUSG00000102531,0,0,0,0,0,0
ENSMUSG00000103096,0,0,0,0,0,0
ENSMUSG00000102279,0,0,0,0,0,0
ENSMUSG00000103708,0,0,0,0,0,0
ENSMUSG00000104201,0,0,0,0,0,0
ENSMUSG00000102434,0,0,0,0,0,0
ENSMUSG00000045216,2312,2002,2172,1778,2114,1992
ENSMUSG00000104523,0,0,0,0,0,0
ENSMUSG00000102202,17,9,40,7,21,5
ENSMUSG00000037470,2988,2683,2868,2758,3178,2864
ENSMUSG00000098752,3,0,0,0,0,0
ENSMUSG00000047180,846,972,749,911,862,978
ENSMUSG00000037447,63,31,82,44,90,32
ENSMUSG00000102762,0,1,1,1,0,3
ENSMUSG00000010453,1375,1409,1381,1427,1317,1414
ENSMUSG00000098680,0,0,0,0,0,0
ENSMUSG00000037432,125,81,161,77,105,91
ENSMUSG00000001143,584,431,569,422,513,479
ENSMUSG00000037408,362,327,408,319,374,360
ENSMUSG00000104316,6,1,2,4,2,5
ENSMUSG00000001138,553,528,476,477,536,558
ENSMUSG00000102845,0,0,0,0,0,0
ENSMUSG00000067653,36,42,62,24,33,33
ENSMUSG00000109510,0,1,1,0,0,0
ENSMUSG00000079610,136,116,166,121,119,158
ENSMUSG00000026121,2074,148,2802,126,2211,171
ENSMUSG00000087589,31,2,65,3,28,4
ENSMUSG00000046337,9,0,16,1,14,0
ENSMUSG00000089906,1,0,0,0,0,1
ENSMUSG00000061518,142,192,155,191,204,218
ENSMUSG00000037351,1615,1799,1577,1851,1672,1949
ENSMUSG00000102416,2,3,0,1,2,0
ENSMUSG00000104237,0,0,1,0,0,0
ENSMUSG00000026117,2,1,5,1,2,0
ENSMUSG00000097291,0,0,0,0,0,0
ENSMUSG00000026116,3551,2796,3534,2630,3524,2850
ENSMUSG00000103016,0,2,0,0,1,0
ENSMUSG00000102930,0,3,4,1,5,6
ENSMUSG00000103159,1,2,3,1,1,2
ENSMUSG00000080054,4,3,5,2,5,5
ENSMUSG00000119706,0,0,0,0,0,0
ENSMUSG00000050122,0,0,1,0,0,0
ENSMUSG00000103603,0,0,0,0,0,0
ENSMUSG00000026114,24,11,41,5,38,7
ENSMUSG00000102231,0,0,0,0,0,0
ENSMUSG00000026113,418,211,498,180,450,221
ENSMUSG00000086064,0,0,0,0,3,0
ENSMUSG00000102879,0,0,0,0,0,0
ENSMUSG00000026112,2256,1881,2228,1899,2174,2110
ENSMUSG00000026111,513,540,459,539,505,624
ENSMUSG00000026110,1655,1195,1729,1176,1659,1319
ENSMUSG00000103948,2,5,10,5,1,1
ENSMUSG00000087233,4,0,2,0,1,1
ENSMUSG00000026090,5,2,6,5,15,7
ENSMUSG00000089767,0,0,0,0,0,0
ENSMUSG00000104365,0,0,0,0,0,0
ENSMUSG00000102650,1,0,1,0,0,0
ENSMUSG00000060771,97,43,90,57,74,61
ENSMUSG00000097268,1,0,0,0,0,0
ENSMUSG00000037216,44,62,41,62,39,73
ENSMUSG00000026088,262,233,218,254,233,270
ENSMUSG00000026087,730,792,677,808,710,872
ENSMUSG00000061584,0,0,0,0,0,0
ENSMUSG00000087374,0,0,0,0,0,0
ENSMUSG00000026085,0,0,0,0,0,0
ENSMUSG00000058407,748,645,726,662,760,856
ENSMUSG00000026083,2581,2737,2390,2810,2463,3044
ENSMUSG00000026082,578,626,521,720,541,748
ENSMUSG00000103804,14,4,8,17,10,9
ENSMUSG00000102716,0,0,0,0,0,0
ENSMUSG00000037138,0,0,0,0,0,0
ENSMUSG00000085391,0,0,0,0,0,0
ENSMUSG00000085280,0,0,0,0,0,0
ENSMUSG00000087131,0,0,0,0,0,0
ENSMUSG00000102984,0,0,0,0,0,0
ENSMUSG00000119889,0,0,0,0,0,0
ENSMUSG00000102541,0,0,0,0,0,0
ENSMUSG00000103531,0,0,0,0,0,0
ENSMUSG00000048814,0,0,0,0,0,2
ENSMUSG00000026080,315,360,340,377,373,389
ENSMUSG00000103647,4,0,2,2,2,1
ENSMUSG00000102447,0,0,0,0,0,0
ENSMUSG00000067604,0,2,0,0,0,0
ENSMUSG00000026078,520,401,557,512,582,501
ENSMUSG00000103046,14,9,20,8,16,12
ENSMUSG00000104188,0,0,0,0,0,0
ENSMUSG00000103182,1,0,0,6,0,1
ENSMUSG00000098833,0,0,0,0,0,0
ENSMUSG00000026077,1,2,0,0,0,1
ENSMUSG00000092553,0,0,0,0,0,0
